epoch,cosine_proximity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_cosine_proximity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,-1.0,0.03615834209261789,0.1541646793533153,50.865669373795484,0.03615834209261789,-1.0,0.06455047609974232,0.22624177784192384,117.30195823390389,0.06455047609974232
1,-1.0,0.047171231204341406,0.18637933109905352,63.02265746951968,0.047171231204341406,-0.9999999978368601,0.0648240377824951,0.2264734489961018,118.6242191843585,0.0648240377824951
2,-1.0,0.04696796278182435,0.18622938228199296,63.215597848174035,0.04696796278182435,-0.99999999675529,0.06576652565338868,0.2279981449774517,120.36511454137418,0.06576652565338868
3,-1.0,0.04700870633307981,0.186452288134175,63.19540943606722,0.04700870633307981,-1.0,0.06439645232966522,0.22576467713553947,117.87379863750911,0.06439645232966522
4,-1.0,0.046795421512552816,0.18598863440646152,62.976135346291215,0.046795421512552816,-1.0,0.06551085250464836,0.22758034774085636,119.91526884852843,0.06551085250464836
5,-0.999999999809122,0.04652288482618356,0.18521316776894198,62.842065481224566,0.04652288482618356,-1.0,0.0652031740008663,0.227075342377286,119.36325438596522,0.0652031740008663
6,-1.0,0.04654740181611513,0.18524496059045512,62.838280553676974,0.04654740181611513,-1.0,0.06468238009098704,0.22623050281303206,118.41003781592572,0.06468238009098704
7,-0.9999999986638538,0.046413698947732375,0.184910165005724,62.78310370885464,0.046413698947732375,-1.0,0.0645810726729412,0.22606631670689023,118.22077620668252,0.0645810726729412
8,-0.9999999960810356,0.04623725754594487,0.1844422185968273,62.65071397389595,0.04623725754594487,-0.9999999413586285,0.06477194771565115,0.22637596842179328,118.57603405270254,0.06477194771565115
9,-0.9999999965641956,0.04622257991987734,0.18443773339950117,62.5444873175145,0.04622257991987734,-1.0,0.06481048225785355,0.22643838792844978,118.6472285470511,0.06481048225785355
10,-0.9999999967550737,0.04621956030245659,0.18440572181089776,62.66289263799962,0.04621956030245659,-1.0,0.06452069835356317,0.2259681015353315,118.10745919997949,0.06452069835356317
11,-0.9999999969459517,0.04635490899067209,0.18472415218584115,62.662938833153184,0.04635490899067209,-1.0,0.06523905517831805,0.22713409236209536,119.4284229435392,0.06523905517831805
12,-0.9999999975185857,0.046328603864938936,0.18470275986633033,62.68885296556035,0.046328603864938936,-1.0,0.06532213500304015,0.22727051781195232,119.57789971546576,0.06532213500304015
13,-0.9999999980912198,0.046281648710023354,0.18455598773898438,62.71090010890431,0.046281648710023354,-0.9999999413586285,0.0646833412277005,0.22623204149840268,118.41160684731042,0.0646833412277005
14,-0.9999999977094637,0.04621751067830468,0.1843765389913316,62.674671557905796,0.04621751067830468,-1.0,0.06458921124142056,0.22607952291275307,118.23600971296553,0.06458921124142056
15,-0.9999999971368296,0.04615431685734159,0.18423656300959182,62.53845497114169,0.04615431685734159,-1.0,0.06562839500563283,0.2277728600038291,120.122991671669,0.06562839500563283
16,-0.9999999958006835,0.04621163491930459,0.18435963727412655,62.70651784996584,0.04621163491930459,-1.0,0.06469291005317129,0.2262476261780152,118.4294162509054,0.06469291005317129
17,-0.9999999950371714,0.046200220841399006,0.1843441704377133,62.641427600852005,0.046200220841399006,-1.0,0.06457984035751228,0.22606431558276155,118.21846963976002,0.06457984035751228
18,-0.9999999950371714,0.04619563113611908,0.1843331359000632,62.70272519033135,0.04619563113611908,-0.9999999402770585,0.06484258966216765,0.22649049360927184,118.70643881788868,0.06484258966216765
19,-0.9999999842465983,0.04619477641844946,0.18434034822015188,62.648541067742336,0.04619477641844946,-0.9999999413586285,0.06480167581226337,0.22642411434822796,118.63096980761968,0.06480167581226337
20,-0.9999999948462934,0.04619617959783171,0.18434560329042615,62.62146600031811,0.04619617959783171,-1.0,0.06474134000084253,0.22632634289919704,118.51935285801315,0.06474134000084253
21,-0.9999999942736594,0.046111834666036744,0.18417742001822449,62.554811455232965,0.046111834666036744,-1.0,0.06465321313972691,0.22618320261516145,118.35550930887368,0.06465321313972691
22,-0.9999999965641956,0.04616613498953452,0.1842438660243287,62.5842009055009,0.04616613498953452,-0.9999999413586285,0.06469772260243706,0.22625545919499182,118.43836937675336,0.06469772260243706
23,-0.9999999967550737,0.046211518968735335,0.18437248314279958,62.61072525146576,0.046211518968735335,-1.0,0.06534739241132322,0.22731202457185706,119.62320767633294,0.06534739241132322
24,-0.9999999965641956,0.04619742378756527,0.18432737916357553,62.72980568365422,0.04619742378756527,-1.0,0.0642320597235368,0.2254954592715859,117.5589062123181,0.0642320597235368
25,-0.9999999944645374,0.046196885469789235,0.1843462981826101,62.586984966431736,0.046196885469789235,-1.0,0.064782463603695,0.2263929956791453,118.59547724776543,0.064782463603695
26,-0.9999999937010253,0.04619262434611149,0.18434448503824602,62.54824906827093,0.04619262434611149,-1.0,0.06486019807866913,0.22651905514276632,118.73885807938301,0.06486019807866913
27,-0.999999990837855,0.04619094009026754,0.184318625777848,62.70255316094157,0.04619094009026754,-1.0,0.06483293618813583,0.22647482294484717,118.6886456724534,0.06483293618813583
28,-0.9999999849206362,0.046188843062751915,0.18432072701903324,62.66200956106484,0.046188843062751915,-1.0,0.06474157240602729,0.2263267208403016,118.51978869393557,0.06474157240602729
29,-0.9999999893108308,0.04618933637581499,0.18433071629074116,62.5843362471805,0.04618933637581499,-1.0,0.06483514972741689,0.22647841892838647,118.69272355679111,0.06483514972741689
30,-0.9999999956098055,0.046189959476799075,0.1843302005047735,62.58189956764296,0.046189959476799075,-1.0,0.0650459351754785,0.2268196109641129,119.07861560229914,0.0650459351754785
31,-0.9999999927466352,0.046193275890903295,0.1843238180842971,62.72292796963598,0.046193275890903295,-1.0,0.06476713440518035,0.22636816879828928,118.56712699308252,0.06476713440518035
32,-0.9999999973277077,0.046194321937506756,0.1843413140375912,62.574525126785765,0.046194321937506756,-1.0,0.0646038874344774,0.22610333190107604,118.26346238355039,0.0646038874344774
33,-0.9999999927466352,0.04619153765796094,0.18432505616612038,62.627179982001884,0.04619153765796094,-1.0,0.06465175792417506,0.22618084678678294,118.35279779134069,0.06465175792417506
34,-0.9999999921740012,0.046187643451238235,0.18431990347879065,62.60018531163693,0.046187643451238235,-0.9999999402770585,0.0647979467387145,0.22641807216606974,118.6240851475559,0.0647979467387145
35,-0.9999999952280495,0.046136746776455906,0.18417896127399577,62.51131253942776,0.046136746776455906,-1.0,0.06489126228676965,0.22656935968005626,118.79595343100642,0.06489126228676965
36,-0.9999999888276708,0.04619013651038576,0.18431809261303292,62.657900169130144,0.04619013651038576,-0.9999999402770585,0.06482763625330207,0.22646621284520013,118.67886856983294,0.06482763625330207
37,-0.9999999879746846,0.04618591480805243,0.184316108758103,62.633270125094434,0.04618591480805243,-0.9999999413586285,0.06478357354691555,0.2263947946595375,118.59752741771209,0.06478357354691555
38,-0.9999999844374763,0.046122358790264446,0.184166362274728,62.63066484891745,0.046122358790264446,-0.9999999402770585,0.06472579523805357,0.22630110052647928,118.49052473110959,0.06472579523805357
