epoch,cosine_proximity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_cosine_proximity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,-1.0,0.0375437930916954,0.16145441615234055,53.20571121108929,0.0375437930916954,-1.0,0.04879482856814081,0.19747580330568568,104.18759621754563,0.04879482856814081
1,-1.0,0.02600247332192948,0.12249784625624907,39.35985272722242,0.02600247332192948,-1.0,0.030147489210288245,0.14870304476046212,76.31333428846055,0.030147489210288245
2,-1.0,0.019154314444676947,0.10249014427237192,31.308036178119306,0.019154314444676947,-1.0,0.007681911532728631,0.078236696174617,27.83373098668141,0.007681911532728631
3,-1.0,0.017463377499214287,0.09578871076792844,28.889279863969787,0.017463377499214287,-0.9999999998817033,0.004522371508170797,0.061509021621504824,28.389426356576,0.004522371508170797
4,-1.0,0.006574299268322921,0.057645374433339495,16.2094708169971,0.006574299268322921,-1.0,0.0007408964325355642,0.021065786797901855,7.910237685323336,0.0007408964325355642
5,-1.0,0.0026459426624762875,0.03429988503170917,9.386418889694461,0.0026459426624762875,-1.0,0.004968554859904513,0.05494644891904778,13.537820879582274,0.004968554859904513
6,-1.0,0.0004121108556627409,0.013262816036922994,3.682024463892639,0.0004121108556627409,-1.0,0.00016677122954731957,0.008234556404853132,3.6286831340135444,0.00016677122954731957
7,-1.0,0.00017114119046043652,0.008143233594666139,2.3970210307533812,0.00017114119046043652,-1.0,0.00018169578951997362,0.008291128850672716,4.286719398996057,0.00018169578951997362
8,-1.0,0.00011367895818554538,0.005880598865765384,1.866295215127347,0.00011367895818554538,-0.9999999998817033,0.0001377038652334639,0.00645902171136343,3.484016021520854,0.0001377038652334639
9,-1.0,0.00010209788134541936,0.0053130289564626365,1.7298432625679185,0.00010209788134541936,-1.0,0.00013052416150598437,0.006190229926827629,3.286964236422507,0.00013052416150598437
10,-1.0,0.00010410805756589903,0.00546393298040931,1.7606819297183536,0.00010410805756589903,-1.0,0.0001256628357005307,0.006180109952473213,3.0795987642686766,0.0001256628357005307
11,-1.0,0.0003748004005982827,0.010771255530575409,3.0591114481061528,0.0003748004005982827,-1.0,0.0004913540850749041,0.01823490650015734,6.184223298618196,0.0004913540850749041
12,-1.0,0.0016013501528538679,0.02668642039325257,7.172599830465195,0.0016013501528538679,-1.0,0.009038451128466086,0.0833357309664858,28.10546611732351,0.009038451128466086
13,-1.0,0.0019185185107449803,0.030866014389267615,8.233407446990348,0.0019185185107449803,-1.0,0.002804533763228051,0.04336580841875732,12.883359272553692,0.002804533763228051
14,-1.0,0.0018021545100083151,0.02757999633562611,7.415290957556565,0.0018021545100083151,-1.0,0.0008314601431937023,0.02307374213922791,8.444045353719929,0.0008314601431937023
15,-1.0,0.00022528863090589318,0.009551844334922784,2.7672762510864204,0.00022528863090589318,-1.0,0.00014969429674734335,0.007432647454751714,3.413534373712499,0.00014969429674734335
16,-1.0,0.00010550796042387604,0.005653513812576275,1.8037001517703601,0.00010550796042387604,-1.0,0.00013765689218953172,0.007029823408846836,3.523075370907547,0.00013765689218953172
17,-1.0,9.292496896934552e-05,0.004994674236507849,1.654812325493586,9.292496896934552e-05,-1.0,0.00012400798824576285,0.006501730942984064,2.8531169485768686,0.00012400798824576285
18,-1.0,8.660825573349965e-05,0.004644820004494706,1.5262809120060832,8.660825573349965e-05,-1.0,0.00012836182822688322,0.00684072042115377,3.0317918662819405,0.00012836182822688322
19,-1.0,8.61219493662713e-05,0.004632001635654624,1.5316860120237425,8.61219493662713e-05,-1.0,0.00012480107452827593,0.006582621422017731,2.9305342013686517,0.00012480107452827593
20,-1.0,8.964790249501607e-05,0.004922017483387869,1.6127312996162604,8.964790249501607e-05,-1.0,0.00013633594087373622,0.006743119253774591,3.6370380302647676,0.00013633594087373622
21,-1.0,0.00029434372107599706,0.009398362657704412,2.695678136036758,0.00029434372107599706,-1.0,0.0019191051852475586,0.03772322717459404,12.506240157929636,0.0019191051852475586
22,-1.0,0.0005380979985736631,0.015418427378919712,4.186589535385601,0.0005380979985736631,-1.0,0.0004740302180265361,0.0178992618968526,6.833785597582461,0.0004740302180265361
23,-1.0,0.0011273921944340447,0.021458274418707637,5.747087587855713,0.0011273921944340447,-1.0,0.00042780403308661813,0.016649077888044785,5.868925812226164,0.00042780403308661813
24,-1.0,0.00014114110238790497,0.007096594094662501,2.120881254272757,0.00014114110238790497,-1.0,0.00011926514474988344,0.006221775357514569,2.749999858584727,0.00011926514474988344
25,-1.0,9.690789777680191e-05,0.005179964079367114,1.6351300814105834,9.690789777680191e-05,-1.0,0.0001464214242844538,0.007819784614266757,3.8221073188489716,0.0001464214242844538
26,-1.0,8.685079911231626e-05,0.004610644546629848,1.4844277976750433,8.685079911231626e-05,-1.0,0.00010690588515851214,0.005752225796477397,2.7847708866215646,0.00010690588515851214
27,-1.0,8.118058183295599e-05,0.004273545016199798,1.3995441023934208,8.118058183295599e-05,-1.0,0.0001118011241312344,0.006215678172004875,2.821238117309951,0.0001118011241312344
